PROJECT_NAME,ADDRESS,CITY,STATE,ZIP,COUNTY,SITE_TYPE,SITE_TYPE_DETAILED,ACRES,APN,NATIONAL_PRIORITIES_LIST,REGULATORY_AGENCIES_INVOLVED,LEAD_AGENCY,PROJECT_MANAGER,SUPERVISOR,DIVISION_BRANCH,ENVIROSTOR_ID,SITE_CODE,ASSEMBLY,SENATE,CONGRESSIONAL_DISTRICT,SPECIAL_PROGRAM,STATUS,STATUS_DATE,PAST_USES,POTENTIAL_COC,CONFIRMED_COC,POTENTIAL_MEDIA_AFFECTED,RESTRICTED_USE,SITE_MGMT_REQ,FUNDING,LATITUDE,LONGITUDE
LA DIST. ENGINEER OFFICE AND YARD,,Los Angeles,CA,,LOS ANGELES,Military Evaluation,FUDS,0,NONE SPECIFIED,NO,SMBRP,SMBRP,,Douglas Bautista,Cleanup Cypress,80001023,,65,35,44,,Inactive - Needs Evaluation,7/1/2005 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,DERA,33.72222222,-118.3125
DYCER AIRPORT,,Los Angeles,CA,,LOS ANGELES,Military Evaluation,FUDS,0,NONE SPECIFIED,NO,SMBRP,SMBRP,,Douglas Bautista,Cleanup Cypress,80000845,,61,35,43,,Inactive - Needs Evaluation,7/1/2005 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,DERA,33.91666667,-118.3125
SANTA MONICA/VINE PRIMARY SITE NO. 8A,Melrose Avenue/Gramercy Place,Los Angeles,CA,90038,LOS ANGELES,School Investigation,School,2,NONE SPECIFIED,NO,SMBRP,SMBRP,,Mark Malinowski,Southern California Schools & Brownfields Outreach,19880061,304127,51,26,30,,Inactive - Withdrawn,8/20/2002 0:00,RESIDENTIAL AREA,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,School District,34.08354,-118.31244
"Aerodynamic Plating Co., Inc. #3",13629  Saint Andrews Place (Plant #3),Gardena,CA,90249,LOS ANGELES,Tiered Permit,Tiered Permit,0.25,4061029021,NO,SMBRP,SMBRP,Aslam Shareef,Shahir Haddad,Southern California Schools & Brownfields Outreach,71003572,550181,61,35,43,,Active,2/5/2006 0:00,METAL PLATING - OTHER,"30022, 30026, 30027, 30028, 30192, 30194, 30195","30,022,300,263,019,200,000,000,000,000,000,000","OTH, SOIL, SV",NO,NONE SPECIFIED,,33.9076,-118.3122
BURBANK TRANSIT CENTER SOUTHERN PACIFIC,201 N FRONT ST,BURBANK,CA,915020000,LOS ANGELES,Corrective Action,Corrective Action,1.7,NONE SPECIFIED,NO,SMBRP,WM,,Jose Diaz,Cleanup Chatsworth,80001671,300299,44,20,30,,No Further Action,7/20/2021 0:00,HAZARDOUS WASTE STORAGE - TANKS/CONTAINERS,"30003, 30022, 30026, 30027, 30136, 30192, 30193, 30194, 30195, 30196, 30384",NONE SPECIFIED,"IA, OTH, SOIL, SV, SURFW",NO,NONE SPECIFIED,EPA Grant,34.178633,-118.312157
"AERODYNAMIC PLATING COMPANY, INC #2",13620 SOUTH SAINT ANDREWS PLACE,GARDENA,CA,90247,LOS ANGELES,Historical,* Historical,10,NONE SPECIFIED,NO,SMBRP,SMBRP,Aslam Shareef,Shahir Haddad,Cleanup Cypress,19370158,,61,35,43,* Site Char & Assess Grant (CERCLA 104),No Further Action,4/1/1985 0:00,METAL PLATING - OTHER,"30108, 30152, 30153, 30160, 30594","30108-NO,30152-NO,30153-NO,30160-NO,30594-NO","SOIL, SURFW",NO,NONE SPECIFIED,,33.90770583,-118.3121351
Momin Lodge,1918 Artesia Boulevard,Torrance,CA,90504,LOS ANGELES,State Response,State Response or NPL,2.2,"4096-004-017, 4096004017",NO,SMBRP,SMBRP,Farah Itani,Emad Yemut,Southern California Schools & Brownfields Outreach,60001010,408019,66,24,43,,Active,8/18/2015 0:00,"AEROSPACE MANUFACTURING/MAINTENANCE, MANUFACTURING - METAL, METAL FINISHING","30013, 30022, 30024, 30026, 30027, 30246, 30484, 30535, 30550, 30564, 30577, 30578","3,002,230,027","IA, OTH, SOIL, SV",NO,NONE SPECIFIED,Orphan Funds,33.8727,-118.312
RANCHO CLEANERS,28374 S. WESTERN AVENUE,PALOS VERDES,CA,90275,LOS ANGELES,Evaluation,Evaluation,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,Referred - Not Assigned,Cleanup Cypress,19720029,,66,24,36,,Refer: 1248 Local Agency,1/30/2004 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,Not Applicable,33.7616127,-118.3119415
Catalina Two Harbors Water System,"1 Pebbly Beach,",Avalon,CA,90704,LOS ANGELES,Voluntary Cleanup,Voluntary Agreement,4.3,NONE SPECIFIED,NO,SMBRP,SMBRP,Jessy Fierro,Jose Diaz,Cleanup Chatsworth,60002989,401920,69,33,42,Voluntary Agreement - Standard Voluntary Agreement,Active,4/27/2020 0:00,TRANSPORTATION - PIPELINE,"30018, 30019","3,001,830,019",SOIL,NO,NONE SPECIFIED,Responsible Party,33.33480896,-118.3116719
"HALBERT'S LUMBER, INC.",2026 ABALONE AVENUE,TORRENCE,CA,90501,LOS ANGELES,Evaluation,Evaluation,1,NONE SPECIFIED,NO,"SMBRP, LOS ANGELES COUNTY",NONE SPECIFIED,Joseph Cully,Patrick Hsieh,Cleanup Cypress,19240022,,66,24,43,,Refer: Local Agency,3/6/1997 0:00,"ILLEGAL DUMPING, MANUFACTURING - LUMBER/WOOD PRODUCTS","30013, 30153, 30156, 30594",NONE SPECIFIED,SOIL,NO,NONE SPECIFIED,Not Applicable,33.82722222,-118.3116667
RAIL CHEMICAL DIVISION,201 FRONT STREET,BURBANK,CA,91502,LOS ANGELES,Historical,* Historical,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,Referred - Not Assigned,Cleanup Chatsworth,19281146,,44,20,30,,Refer: RCRA,4/14/1995 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,34.1787638,-118.3116597
"Moog, Inc., Aircraft Group Torrance Operations",20263 Western Avenue,Torrance,CA,90501,LOS ANGELES,Tiered Permit,Tiered Permit,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,,Cleanup Chatsworth,71003043,,66,24,43,,Refer: Other Agency,,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,33.848096,-118.311646
HOBART/WILTON PRIMARY SCHOOL NO. 2,San Marino St/Saint Andrews Place/Gramercy Dr,Los Angeles,CA,90019,LOS ANGELES,School Investigation,School,1.5,NONE SPECIFIED,NO,SMBRP,SMBRP,,Mark Malinowski,Southern California Schools & Brownfields Outreach,19880072,304150,54,26,34,,Inactive - Withdrawn,8/20/2002 0:00,RESIDENTIAL AREA,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,School District,34.05445,-118.31147
IRI Dover,1859 W. 169 Street,Gardena,CA,90247,LOS ANGELES,Tiered Permit,Tiered Permit,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,,Cleanup Chatsworth,71002924,,66,24,43,,Refer: Other Agency,,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,33.87881,-118.311339
MEMOENHALL  PEAK CP,,San Fernando,CA,,LOS ANGELES,Military Evaluation,FUDS,640,NONE SPECIFIED,NO,SMBRP,SMBRP,Daniel Cordero,Douglas Bautista,Cleanup Cypress,80000316,,40,20,29,,Inactive - Needs Evaluation,7/1/2005 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,DERA,34.35,-118.3111111
CIRCUIT CRAFT COMPANY,205 SOUTH FLOWER STREET,BURBANK,CA,91502,LOS ANGELES,Historical,* Historical,,2451007014,NO,NONE SPECIFIED,NONE SPECIFIED,,Referred - Not Assigned,Cleanup Chatsworth,19360483,,44,20,30,* Site Char & Assess Grant (CERCLA 104),Refer: Other Agency,8/31/1995 0:00,NONE SPECIFIED,"10003, 10009, 10067",NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,34.17654154,-118.3110519
Manhattan Place Elementary School ADA Compliance Project,1850 W. 96th Street,Los Angeles,CA,90047,LOS ANGELES,Voluntary Cleanup,Voluntary Agreement,0,NONE SPECIFIED,NO,SMBRP,SMBRP,Aslam Shareef,Shahir Haddad,Southern California Schools & Brownfields Outreach,60002684,301833,61,28,37,Voluntary Agreement - Standard Voluntary Agreement,Refer: Local Agency,9/24/2019 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,Responsible Party,33.9484547,-118.3107152
PACIFIC AIRMOTIVE,217 SOUTH FRONT STREET,BURBANK,CA,91502,LOS ANGELES,Historical,* Historical,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,* Mmonroy,Cleanup Chatsworth,19760013,,44,20,30,* RCRA 3012 - Past Haz Waste Disp Inven Site,Refer: Other Agency,2/1/1995 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,34.1775,-118.3102778
HOBART/WILTON PRIMARY SCHOOL NO. 1,9th Street/Saint Andrews Place/Manhattan Place,Los Angeles,CA,90019,LOS ANGELES,School Investigation,School,1.5,NONE SPECIFIED,NO,SMBRP,SMBRP,,Mark Malinowski,Southern California Schools & Brownfields Outreach,19880071,304147,54,26,34,,Inactive - Withdrawn,8/20/2002 0:00,RESIDENTIAL AREA,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,School District,34.055838,-118.310221
"South Region High School #6, Site 3",Imperial Highway/Hobart Blvd.,Los Angeles,CA,90047,LOS ANGELES,School Investigation,School,2.88,NONE SPECIFIED,NO,SMBRP,SMBRP,S. Steven Hariri,Ju-Tseng Liu,Southern California Schools & Brownfields Outreach,60000419,304539,61,35,43,,Inactive - Needs Evaluation,2/23/2007 0:00,RETAIL,31001,31001,UE,NO,NONE SPECIFIED,Responsible Party,33.9294,-118.3102
HOBART/WILTON PRIMARY SCHOOL NO. 3,"800,820,826 St. Andrews Place/Eight St/Manhattan Place",Los Angeles,CA,90019,LOS ANGELES,School Investigation,School,2,NONE SPECIFIED,NO,SMBRP,SMBRP,,Mark Malinowski,Southern California Schools & Brownfields Outreach,19880073,304152,54,26,34,,Inactive - Withdrawn,8/20/2002 0:00,RESIDENTIAL AREA,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,School District,34.05587,-118.31017
KNOLLS LODGE MOBILE HOME PARK,23701 S. WESTERN AVENUE,TORRANCE,CA,90501,LOS ANGELES,Historical,* Historical,,7360010010,NO,"SMBRP, RWQCB 4 - Los Angeles, US EPA",RWQCB 4 - Los Angeles,,Sayareh Amirebrahimi,Cleanup Chatsworth,19880001,400813,66,24,36,EPA - PASI,Refer: RWQCB,10/2/1997 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,33.80983935,-118.3101605
Francisco's Cleaners,1830 W. 182nd Street,Torrance,CA,90504,LOS ANGELES,Evaluation,Evaluation,,NONE SPECIFIED,NO,"LA CNTY FIRE DEPT. (BILLING AND UST), LOS ANGELES COUNTY",NONE SPECIFIED,,* Greg Holmes,Cleanup Cypress,70000171,,66,24,43,,Refer: 1248 Local Agency,7/24/2002 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,Not Applicable,33.8655207,-118.3101409
"Star Biochemicals, Subdiv. Of Mallinckrodte",20916 Higging Ct,Torrance,CA,90501,LOS ANGELES,Tiered Permit,Tiered Permit,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,,Cleanup Chatsworth,71003115,,66,24,43,,Refer: Other Agency,,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,33.840123,-118.31008
RHONE POULENC AG CO ALCOLAC / ALCOLAC,1838 West 62nd Street,Los Angeles,CA,90047,LOS ANGELES,Evaluation,Evaluation,1,NONE SPECIFIED,NO,SMBRP,SMBRP,,Javier Hinojosa,Cleanup Chatsworth,60001529,,57,28,37,EPA - PASI,No Further Action,5/25/2012 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,EPA Grant,33.983362,-118.310031
"TECH GRAPHICS, INC.(FORMER)",315 S. FLOWER ST.,BURBANK,CA,91502,LOS ANGELES,Evaluation,Evaluation,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,Referred - Not Assigned,Cleanup Cypress,19990049,,44,20,30,,Refer: 1248 Local Agency,3/16/2004 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,Not Applicable,34.17541359,-118.3099854
ALLIED PLASTICS CO,6231 SOUTH MANHATTAN PLACE,LOS ANGELES,CA,90047,LOS ANGELES,Historical,* Historical,,6001016017,NO,NONE SPECIFIED,NONE SPECIFIED,,* Mmonroy,Cleanup Chatsworth,19300024,,57,28,37,* Site Char & Assess Grant (CERCLA 104),Refer: Other Agency,12/8/1994 0:00,NONE SPECIFIED,"10194, 20012",NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,33.98232764,-118.3099494
"SOUTH REGION MS #6, SITE 2A 5640025",1720 W. 47th Street,Los Angeles,CA,90062,LOS ANGELES,School Cleanup,School,5.78,"5016-015-00, 5016-015-002, 5016-015-003, 5016-015-004, 5016-015-005, 5016-015-005, 5016-015-006, 5016-015-007, 5016-015-008, 5016-015-009, 5016-015-010, 5016-015-011, 5016-015-012, 5016-015-013, 5016-015-014, 5016-015-015, 5016-015-016, 5016-015-018, 5016-015-020, 5016-015-021, 5016-015-021, 5016-015-022, 5016-015-023, 5016-015-024, 5016-015-025, 5016-015-026, 5016-015-027, 5016-015-028, 5016-016-001, 5016-016-002, 5016-016-003, 5016-016-006, 5016-016-006, 5016-016-007, 5016-016-008, 5016-016-009, 5016-016-010, 5016-016-011, 5016-016-012, 5016-016-013, 5016-016-014, 5016-016-015, 5016-016-016, 5016016016, 5016016907",NO,SMBRP,SMBRP,Stephanie Lewis,Javier Hinojosa,Southern California Schools & Brownfields Outreach,60000117,304512,55,28,37,,Certified,5/6/2009 0:00,RESIDENTIAL AREA,"30013, 30018, 30019, 30024, 30025","30018-NO,30019-NO,30024-NO,30025-NO,30013-NO","SOIL, SV, IA",NO,NONE SPECIFIED,School District,34.00073791,-118.3098015
NORTHROP CORPORATION ELECTRONICS DIV.,13215 S WESTERN AVENUE,GARDENA,CA,902470000,LOS ANGELES,Corrective Action,Corrective Action,0,4061014011,NO,NONE SPECIFIED,NONE SPECIFIED,,* Unknown,Cleanup Chatsworth,80001313,,61,35,43,,Inactive - Needs Evaluation,11/1/2018 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,33.912325,-118.309773
"Gardena Plating Co., Inc.",12901 S. Western Avenue,Gardena,CA,90249,LOS ANGELES,Tiered Permit,Tiered Permit,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,,Cleanup Chatsworth,71002408,,61,35,43,,Refer: Other Agency,,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,33.9150149,-118.309674
Proposed CFA Restaurant 3798,1011 N. Western Avenue,Los Angeles,CA,90029,LOS ANGELES,Voluntary Cleanup,Voluntary Agreement,0.87,5536-021-024,NO,SMBRP,SMBRP,Vu Nguyen,Jose Diaz,Cleanup Chatsworth,60002458,401769,51,26,30,Voluntary Agreement - Standard Voluntary Agreement,Active,12/7/2016 0:00,DRY CLEANING,"30022, 30028","3,002,230,028","SV, UE",YES,NONE SPECIFIED,Responsible Party,34.089074,-118.309448
Garrett Aviation Svcs. - CFC Aviation Svcs.,20251 Western Avenue,Torrance,CA,90501,LOS ANGELES,Tiered Permit,Tiered Permit,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,,Cleanup Chatsworth,71003098,,66,24,43,,Refer: Other Agency,,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,33.8471456,-118.309386
PACIFIC VIEW INVESTMENTS,1415-1460 W. 25TH ST.,SAN PEDRO,CA,90732,LOS ANGELES,Evaluation,Evaluation,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,Referred - Not Assigned,Cleanup Cypress,19670002,,65,35,44,,Refer: 1248 Local Agency,2/19/2003 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,Not Applicable,33.7215763,-118.3093789
MORRIS SERVICE CT.,7415 S. WESTERN AVENUE,LOS ANGELES,CA,90047,LOS ANGELES,Evaluation,Evaluation,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,Referred - Not Assigned,Cleanup Cypress,19750104,,57,28,37,,Refer: 1248 Local Agency,11/13/2001 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,Not Applicable,33.97216727,-118.3093259
INTERNATIONAL LIGHT METALS,19200 S WESTERN AVE,TORRANCE,CA,905011109,LOS ANGELES,Corrective Action,Corrective Action,67.4,7351003013,NO,SMBRP,WM,Vu Nguyen,Jose Diaz,Cleanup Chatsworth,80001361,400311,65,35,44,,Active,1/1/2008 0:00,MANUFACTURING - INDUSTRIAL MACHINERY,"30027, 30028, 30153","301,533,002,730,028","IA, OTH, SV",YES,NONE SPECIFIED,Responsible Party,33.854211,-118.309055
10600 S. Western Avenue,10600 South Western Avenue,Los Angeles,CA,90047,LOS ANGELES,Voluntary Cleanup,Voluntary Agreement,0.15,6059-013-027,NO,SMBRP,SMBRP,Johnson Abraham,Shahir Haddad,Southern California Schools & Brownfields Outreach,60002866,401883,61,35,43,Voluntary Agreement - Standard Voluntary Agreement,Inactive - Needs Evaluation,10/3/2019 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,Responsible Party,33.93990083,-118.3087761
KB Gardena Building LLC,13720 South Western Avenue,Gardena,CA,90249,LOS ANGELES,Voluntary Cleanup,Voluntary Agreement,4.2,6102013006,NO,SMBRP,SMBRP,Tajinder Gill,Jose Diaz,Cleanup Chatsworth,60000955,301395,61,35,43,Voluntary Agreement - Standard Voluntary Agreement,Active,8/7/2008 0:00,"AEROSPACE MANUFACTURING/MAINTENANCE, MANUFACTURING - METAL, METAL FINISHING,","30013, 30027, 30028, 30152, 30156, 30594, 30022, 30027, 30028, 30195, 30196","30152,30156,30594,30028,30027,30013,, ,30022,30027,30028,30195,30196","AQUI, SOIL, SV",YES,NONE SPECIFIED,Responsible Party,33.90662397,-118.3087152
Alliance Health Services Academy New High School,10410 South Western Avenue,Los Angeles,CA,90047,LOS ANGELES,School Investigation,School,1.21,"6059-009-023, 6059-009-024, 6059-013-027",NO,SMBRP,SMBRP,Scarlett Zhai,Shahir Haddad,Southern California Schools & Brownfields Outreach,60002179,404911,61,35,43,,Inactive - Action Required,10/20/2015 0:00,"AGRICULTURAL - ROW CROPS, RESIDENTIAL AREA, RETAIL","30013, 30015","30013-NO,30015-NO","SOIL, SV",NO,NONE SPECIFIED,School District,33.940708,-118.308704
Deluxe Laboratories,1377 N. Serrano Avenue,Los Angeles,CA,90027,LOS ANGELES,Evaluation,Evaluation,5,"5544-032-013, 5544-032-016, 5544032013, 5544032016",NO,"SMBRP, LOS ANGELES COUNTY",LOS ANGELES COUNTY,Manjul Bose,Andres Cano,Cleanup Chatsworth,60001863,301604,51,26,30,,Refer: 1248 Local Agency,5/9/2014 0:00,PHOTOGRAPHIC PROCESSING,"31001, 30022",NONE SPECIFIED,"AQUI, IA, SOIL, SV, UE, WELL",NO,NONE SPECIFIED,EPA Grant,34.09578672,-118.3087006
"CALTRANS I-105 FWY PROJECT 3, PARCEL 15",NE OF INTRSECTN OF WESTERN AVE & 120 ST,ATHENS,CA,90047,LOS ANGELES,State Response,State Response or NPL,3,"6090-029-026, 6090029026",NO,SMBRP,SMBRP,Folashade Simpson,Andres Cano,Cleanup Chatsworth,19990002,900362,61,35,43,,Certified / Operation & Maintenance,4/9/1996 0:00,"MANUFACTURING - PETROLEUM, OIL/WATER SEPARATORS, VEHICLE MAINTENANCE","30005, 30013, 30019, 30024, 30025, 3002502, 30152",NONE SPECIFIED,"OTH, SOIL, SURFW",YES," REM, DAY, ELD, HOS, LUC, MON, COV",Responsible Party,33.92366078,-118.3086294
Ace Cleaners,29050 South Western Avenue,Rancho Palos Verdes,CA,90275,LOS ANGELES,Voluntary Cleanup,Voluntary Agreement,2.88,7445-004-242,NO,SMBRP,SMBRP,Anthony Rosas,Maryam Tasnif-Abbasi,Cleanup Cypress,60002755,401861,66,35,44,,Certified O&M - Land Use Restrictions Only,1/14/2022 0:00,DRY CLEANING,"30022, 30027","3,002,230,027","IA, OTH, SOIL, SV, UE",YES,NONE SPECIFIED,Responsible Party,33.75481777,-118.3086155
Western Gage Gateway Park,6300 S. Western Avenue,Los Angeles,CA,90007,LOS ANGELES,Voluntary Cleanup,Voluntary Agreement,0.2,NONE SPECIFIED,NO,SMBRP,SMBRP,,Juli Propes,Cleanup Chatsworth,60002006,301497-11,57,28,37,Voluntary Agreement - Standard Voluntary Agreement,Refer: RWQCB,4/14/2017 0:00,"UNDERGROUND STORAGE TANKS, VEHICLE MAINTENANCE","30003, 30025, 30272, 30550, 30577, 30578, 30593","30,003,305,783,002,500,000,000,000,000,000,000",SOIL,NO,NONE SPECIFIED,Responsible Party,33.982112,-118.308597
HUGHES PAINT COMPANY INC,5900 S WESTERN AVE,LOS ANGELES,CA,90047,LOS ANGELES,Historical,* Historical,,6002008034,NO,NONE SPECIFIED,NONE SPECIFIED,,* Mmonroy,Cleanup Chatsworth,19280441,,57,28,37,* RCRA 3012 - Past Haz Waste Disp Inven Site,Refer: Other Agency,4/14/1995 0:00,NONE SPECIFIED,"10009, 10067, 10179, 10197",NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,33.98737746,-118.3085963
SWEDISH HAND DRY,5950 S WESTERN,LOS ANGELES,CA,90047,LOS ANGELES,Evaluation,Evaluation,0.33,6002015001,NO,SMBRP,SMBRP,Joseph Arreola,Marissa Cozette,CVCI Discovery and Enforcement,60003329,308034,57,28,37,CVCI - Discovery and Enforcement,Active,4/1/2022 0:00,DRY CLEANING,"30022, 30027, 30028, 30195, 30196, 30194","30022-NO,30027-NO,30028-NO,30194-NO,30195-NO,30196-NO",NONE SPECIFIED,NO,NONE SPECIFIED,CVCI 2021,33.986513,-118.308595
Pest Control Chemicals,5852 S. Western Avenue,Los Angeles,CA,90047,LOS ANGELES,Evaluation,Evaluation,1,NONE SPECIFIED,NO,SMBRP,SMBRP,,Javier Hinojosa,Cleanup Chatsworth,60001530,,57,28,37,EPA - PASI,No Further Action,5/25/2012 0:00,PESTICIDE/INSECTIDE/RODENTICIDE STORAGE,31001,31001-NO,NONE SPECIFIED,NO,NONE SPECIFIED,EPA Grant,33.988372,-118.308552
SONIC INDUSTRIES(FORMER),13200 S.WESTERN AVE.,GARDENA,CA,90249,LOS ANGELES,Evaluation,Evaluation,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,Referred - Not Assigned,Cleanup Cypress,19730197,,61,35,43,,Refer: 1248 Local Agency,4/16/2003 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,Not Applicable,33.91212297,-118.3084957
CENTRAL REGION MIDDLE SCHOOL #5,Fountain Avenue/Serrano Avenue,Los Angeles,CA,90029,LOS ANGELES,School Cleanup,School,4.64,"5537-002-005, 5537-002-015-022, 5537-002-025-026, 5537-005-00, 5537-005-001-002, 5537002005",NO,SMBRP,SMBRP,,Javier Hinojosa,Southern California Schools & Brownfields Outreach,60000058,304488,51,26,30,,Inactive - Action Required,1/18/2006 0:00,RESIDENTIAL AREA,"30003, 30013, 30016, 30018, 30022",NONE SPECIFIED,"IA, SOIL, SV",NO,NONE SPECIFIED,School District,34.09454113,-118.3084658
FORT MACARTHUR-UPPER RESERVATION,"WITHIN 28TH ST, GAFFEY ST, 31ST ST",SAN PEDRO,CA,90731,LOS ANGELES,Military Evaluation,FUDS,175,NONE SPECIFIED,NO,DTSC,DTSC,,Douglas Bautista,Cleanup Cypress,19970024,301030,65,35,44,,No Further Action,12/10/2018 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,* Defense Environmental Restoration Program (DERP),33.715,-118.3083333
HARVEY MACHINE CO,,Torrance,CA,,LOS ANGELES,Military Evaluation,FUDS,5,NONE SPECIFIED,NO,SMBRP,SMBRP,,Patrick Hsieh,Cleanup Cypress,80000078,,65,35,44,,Active,7/20/2017 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,DERA,33.85555556,-118.3083333
FIBER RESIN CORP MICHIGAN,170 W. PROVIDENCIA AVENUE,BURBANK,CA,91502,LOS ANGELES,Historical,* Historical,0,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,* Mmonroy,Cleanup Chatsworth,19280578,,44,20,30,* Site Char & Assess Grant (CERCLA 104),No Further Action,2/1/1995 0:00,MANUFACTURING - CHEMICALS,"30002, 30384, 30386, 30593","30384-NO,30386-NO,30002-NO,30593-NO","SOIL, SV, IA",NO,NONE SPECIFIED,,34.1725,-118.3083333
"Quantity Photo's, Inc.",5432 Hollywood Boulevard,Hollywood,CA,90027,LOS ANGELES,Tiered Permit,Tiered Permit,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,,Cleanup Chatsworth,71003286,,51,26,30,,Refer: Other Agency,,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,34.1017225,-118.3082972
GARDENA MARKETPLACE,"1735, 1711, 1741 1701 and 1691 WEST ARTESIA BLVD.",GARDENA,CA,90240,LOS ANGELES,Voluntary Cleanup,Voluntary Agreement,10,"6106-010-014, 6106-010-015, 6106-010-016, 6106-010-017, 6106-010-018, 6106010014, 6106010015, 6106010016, 6106010017, 6106010018",NO,SMBRP,SMBRP,Folashade Simpson,Andres Cano,Cleanup Chatsworth,19360536,301261,66,24,43,Voluntary Agreement - Standard Voluntary Agreement,Certified / Operation & Maintenance,1/4/2013 0:00,"EQUIPMENT/INSTRUMENT REPAIR, MANUFACTURING - ELECTRONIC","30018, 30022, 30027, 30577","30,577,300,183,002,200,000","AQUI, SOIL, SV",YES,NONE SPECIFIED,Responsible Party,33.87305,-118.30801
